Dataset Partition	Overrepresented lemmas
0	(elicitor : 0.0001),(rnaseq : 0.0013),(course : 0.0001),(panel : 0.0001),(thaliana : 0.0001),(elf : 0.0253),(study : 0.0001),(time : 0.0001),(line : 0.0122),(response : 0.0001),(arabidopsis : 0.0001),(point : 0.0002),(receptor : 0.002),(rlp : 0.0455),(transcriptomic : 0.0001),(r : 0.021),(efr : 0.0033),(treatment : 0.002)
1	(allow : 0.0002),(et : 0.0001),(mutation : 0.0001),(atac : 0.0001),(recombination : 0.0009),(generate : 0.0001),(input : 0.0069),(parallel : 0.0029),(novo : 0.0001),(wt : 0.0001),(ser : 0.0017),(aa : 0.0124),(somatic : 0.031),(ste : 0.0005),(flowering : 0.0144),(stochastic : 0.0123),(bs : 0.0001),(epigenetic : 0.0044),(rnapii : 0.0001),(leave : 0.0025),(tscha : 0.0018),(com : 0.0102),(spurious : 0.0001),(datum : 0.0001),(reduction : 0.0029),(rosette : 0.0041),(enable : 0.0029),(transcription : 0.0339),(ugy : 0.0251),(srikant : 0.0001),(bu : 0.0129),(lava : 0.0231),(discovery : 0.0002),(capture : 0.0181),(detect : 0.0001),(cis : 0.0018),(dependent : 0.009),(plastid : 0.0001),(colonize : 0.004),(element : 0.0106),(rescue : 0.0029),(evolutionary : 0.0043),(duplex : 0.0001),(montevelha : 0.0481),(de : 0.0001),(ibm : 0.002),(regulation : 0.0329),(seq : 0.0005),(al : 0.0001),(meiotic : 0.041),(initiation : 0.0001),(suvh : 0.0014),(eti : 0.0454),(chronic : 0.0386),(inferno : 0.0187),(efficient : 0.0002),(mitochondrial : 0.0001),(gamete : 0.0002)
2	(chip : 0.0025),(zt : 0.0319),(uk : 0.0001),(clfswn : 0.0222),(et : 0.0001),(atac : 0.0001),(recombination : 0.0497),(generate : 0.0001),(responsive : 0.012),(dream : 0.0376),(phytochrome : 0.0016),(finger : 0.0223),(cvi : 0.0083),(chromatin : 0.016),(aa : 0.0161),(germline : 0.0026),(lerc : 0.0005),(range : 0.0331),(productive : 0.0376),(environmentally : 0.0016),(se : 0.0113),(hkm : 0.011),(baa : 0.011),(wdra : 0.0376),(haz : 0.0019),(lowr : 0.0393),(datum : 0.0001),(mar : 0.0001),(srikant : 0.0001),(bu : 0.0001),(l : 0.016),(signature : 0.0033),(antagonize : 0.0486),(zinc : 0.032),(syn : 0.0309),(seq : 0.0001),(al : 0.0001),(monoubiquitination : 0.0331),(interact : 0.0279),(bmi : 0.0331),(hic : 0.0331),(hotspot : 0.0218),(veg : 0.0083),(nok : 0.0001),(p : 0.0001),(distinct : 0.0198),(serrate : 0.0113)
3	(rna : 0.0001),(thaliana : 0.0001),(hybrid : 0.0001),(library : 0.0001),(shb : 0.0001),(seq : 0.0001)
4	(adar : 0.0029),(profiling : 0.0012),(recombination : 0.0433),(rna : 0.0001),(paper : 0.0001),(bud : 0.0021),(sp : 0.019),(plus : 0.0002),(bidirectionality : 0.0002),(ribosome : 0.0001),(deplete : 0.0235),(mechanism : 0.0462),(strand : 0.0132),(etiolate : 0.0349),(define : 0.0199),(cell­ : 0.0106),(pgr : 0.0002),(rep : 0.0001),(ye : 0.0001),(hypertribe : 0.0029),(enterobacter : 0.019),(cold : 0.0368),(reillumination : 0.0115),(variation : 0.0006),(lsm : 0.0207),(action : 0.0001),(arabidopsis : 0.0013),(atcacg : 0.02),(paternal : 0.0324),(midday : 0.0206),(lbd : 0.0001),(mutant : 0.0053),(cslc : 0.0083),(nurse : 0.0106),(c : 0.0001),(promoter : 0.0002),(ma : 0.0123),(act : 0.0457),(secondary : 0.0001),(pathway : 0.0108),(bundle : 0.0049),(dcmu : 0.0118),(hmet : 0.0028),(drm : 0.0211),(associate : 0.023),(produce : 0.0347),(infect : 0.0176),(anther : 0.0403),(– : 0.0049),(basic : 0.0004),(splicing : 0.0001),(day : 0.0003),(growth : 0.0136),(porcupine : 0.0001),(temperature : 0.0001),(intronic : 0.036),(rnao : 0.0117),(noncode : 0.0406),(rrp : 0.0085),(enhancer : 0.0201),(flag : 0.0042),(msp : 0.0057),(inheritance : 0.0106),(amv : 0.0004),(pcp : 0.0001),(defense : 0.0055),(characterization : 0.0063),(tert : 0.0133),(hcf : 0.0003),(activate : 0.0487),(nuclear : 0.0012),(thermotolerance : 0.0133),(small : 0.0005),(decay : 0.0019),(tapetum : 0.0049),(regulate : 0.0002),(antisense : 0.0002),(flower : 0.0013),(aberrant : 0.0076),(identification : 0.0008),(photosynthetic : 0.0001),(antiviral : 0.0005),(maize : 0.0001),(development : 0.0001),(depletion : 0.0015),(intragenic : 0.0076),(zmp : 0.0083),(aerial : 0.0001),(translation : 0.0001),(alternative : 0.0001),(long : 0.0022),(jointly : 0.0076),(plant : 0.0034),(ythdf : 0.0036),(hcr : 0.0001),(post : 0.018),(cytokinin : 0.001),(apocarotenal : 0.0243),(spectrum : 0.0001),(acclimation : 0.0038)
5	(segregate : 0.0001),(rgmisjcjtx : 0.0001),(mdpcb : 0.0001),(mlnpx : 0.0001),(representation : 0.0001),(local : 0.0001),(population : 0.0001),(pgfx : 0.0003),(rp : 0.0006),(fccix : 0.0039),(g : 0.0001),(ohlaobt : 0.004),(mdsr : 0.0037),(reduce : 0.0001),(ohpr : 0.0001),(hctrp : 0.0003),(structure : 0.0001),(mimsp : 0.0001),(hctpnr : 0.0001),(species : 0.0001),(mdpcbm : 0.0001),(rgmi : 0.0001),(introduction : 0.0001),(scale : 0.0001),(distortion : 0.0001),(rod : 0.0041),(misjcjt : 0.0001),(pnr : 0.0215),(wide : 0.0001),(variation : 0.0002),(arabidopsis : 0.0001),(perform : 0.0001),(american : 0.0001),(rgmisjcjtxx : 0.0058),(hmdsr : 0.0296),(rgin : 0.0001),(fine : 0.0001),(ohmlnp : 0.0001),(rus : 0.0002),(mdpgf : 0.0001),(rgoh : 0.0001),(f : 0.0001),(transmission : 0.0001),(hmamssf : 0.0005),(natural : 0.0001),(source : 0.0001),(ratio : 0.0001),(nctbf : 0.0033),(maur : 0.0034),(l : 0.0001),(ctpnr : 0.0046),(inthrr : 0.0012),(mikosp : 0.0002),(north : 0.0001),(njsc : 0.0001),(pnrx : 0.0001),(hmimsuk : 0.016),(ctrp : 0.003),(pool : 0.0001),(unk : 0.05),(eurasia : 0.0001),(rgma : 0.0001),(genome : 0.0459),(screen : 0.0001),(reveal : 0.0001),(mlnpxx : 0.0035),(rgohlaobtxx : 0.0041),(bgx : 0.0013),(hohlaobt : 0.0091),(thrrx : 0.0011),(inrct : 0.0001),(mdtcr : 0.0182),(mspx : 0.0001),(scx : 0.0033),(mssfxx : 0.0036),(rgnj : 0.0033),(mil : 0.0001),(rpx : 0.0009),(rgmd : 0.0001),(multiple : 0.0001),(rgct : 0.0001),(p : 0.0001),(aax : 0.0002),(rgny : 0.0013)
6	(finder : 0.0001),(hf : 0.0001),(cf : 0.0001),(miseq : 0.0001),(crispr : 0.0001),(bf : 0.0001),(df : 0.0001),(ff : 0.0001),(gf : 0.0001),(af : 0.0001),(ef : 0.0001)
7	(complexity : 0.0001),(b : 0.0445),(g : 0.001),(seed : 0.0001),(c : 0.0214),(e : 0.003),(resolution : 0.0001),(h : 0.0302),(transcriptional : 0.0001),(nucleus : 0.0001),(imprinting : 0.0001),(single : 0.0001),(p : 0.0001)
8	(rlt : 0.0052),(inoculation : 0.022),(uk : 0.0091),(involve : 0.0037),(amendment : 0.022),(morphology : 0.0113),(ndr : 0.0063),(profiling : 0.0481),(ein : 0.0003),(university : 0.0069),(functional : 0.0004),(illumina : 0.0157),(auxin : 0.0045),(identical : 0.0304),(alternaria : 0.0184),(xpo : 0.0005),(lrh : 0.0064),(recognition : 0.0163),(bon : 0.0063),(mediator : 0.0001),(med : 0.0204),(facilitate : 0.0001),(man : 0.0125),(wt : 0.0007),(construct : 0.0113),(activation : 0.0036),(vegetative : 0.0055),(impair : 0.0183),(mrna : 0.0082),(submergence : 0.0001),(subunit : 0.0334),(rep : 0.0001),(qsub : 0.0224),(seedling : 0.0003),(component : 0.0411),(defect : 0.0298),(fungus : 0.0184),(dynamic : 0.0004),(old : 0.0005),(analysis : 0.0001),(negatively : 0.0006),(seedle : 0.0096),(vpz : 0.0467),(fluctuate : 0.026),(arath : 0.0183),(nac : 0.024),(bacteria : 0.0015),(raw : 0.0015),(cd : 0.0005),(comparison : 0.0142),(leave : 0.0244),(narrow : 0.0111),(w : 0.0493),(tpsl : 0.0123),(mutant : 0.0332),(genetically : 0.0304),(super : 0.0112),(gcn : 0.0008),(d : 0.0468),(alternata : 0.0184),(nm : 0.0243),(transform : 0.0113),(recovery : 0.0117),(band : 0.0111),(ge : 0.0122),(agricultural : 0.0069),(trigger : 0.027),(total : 0.0002),(dual : 0.0052),(endophyte : 0.022),(splicing : 0.0179),(overexpressor : 0.0248),(ka : 0.0063),(brm : 0.0001),(rrp : 0.0112),(quantitative : 0.0001),(exex : 0.0184),(arid : 0.0052),(anatomy : 0.0113),(misexpresse : 0.0113),(cpr : 0.0005),(modulate : 0.0001),(iswi : 0.0052),(q : 0.0224),(regulate : 0.001),(organic : 0.022),(key : 0.0001),(tissue : 0.0146),(overexpresse : 0.0005),(brip : 0.0001),(translation : 0.0022),(alternative : 0.0232),(nanjing : 0.0069),(shoot : 0.0065),(ethylene : 0.0023),(kin : 0.0183),(material : 0.0069),(plant : 0.0001),(osmotic : 0.0301),(generation : 0.0001),(fpa : 0.0129),(resistant : 0.0001)
9	(eastern : 0.0314),(gy : 0.0109),(chip : 0.0376),(specific : 0.0001),(meimig : 0.0001),(gr : 0.0001),(assembly : 0.0002),(female : 0.0001),(detection : 0.0201),(recqab : 0.0341),(population : 0.0001),(mne : 0.0181),(x : 0.0001),(j : 0.0001),(wgs : 0.0204),(albugo : 0.0005),(ata : 0.0204),(thaliana : 0.0001),(contig : 0.0001),(m : 0.0335),(col : 0.0001),(crossover : 0.0001),(bte : 0.0207),(wt : 0.0002),(wale : 0.0204),(park : 0.0204),(type : 0.0001),(erg : 0.0205),(bcf : 0.0001),(susceptible : 0.0005),(contiguity : 0.0202),(mutational : 0.0149),(lexr : 0.0005),(flow : 0.0401),(national : 0.0204),(hr : 0.0008),(arabidopsis : 0.0136),(raw : 0.0281),(wild : 0.0132),(sequence : 0.0001),(kbs : 0.0202),(efa : 0.0207),(efficiency : 0.0078),(screening : 0.0364),(ms : 0.0002),(male : 0.0001),(f : 0.0001),(ppx : 0.0001),(gamma : 0.0016),(wlild : 0.0001),(snowdonia : 0.0204),(france : 0.0314),(ex : 0.0011),(pyrenee : 0.0102),(hsbp : 0.0001),(phylogenomic : 0.0204),(venus : 0.0364),(lc : 0.0364),(arabidiopsis : 0.0204),(mac : 0.0202),(ressource : 0.0314),(real : 0.0204),(resistance : 0.0373),(poa : 0.0008),(isolate : 0.0077),(lyrata : 0.0204),(increase : 0.0203),(ray : 0.0201),(renseq : 0.0001),(haploid : 0.0005),(genotype : 0.0001),(ler : 0.0001),(ldv : 0.0153),(identify : 0.0001),(backcross : 0.0001),(map : 0.0001),(cem : 0.0155),(candida : 0.0005),(pj : 0.0001),(experiment : 0.002),(dii : 0.0364),(ems : 0.0001),(lag : 0.038),(enrichment : 0.0001),(location : 0.0001)
